time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-14 00:00:00+00:00,3,2,23,17
2026-07-15 00:00:00+00:00,12,3,14,10
2026-07-16 00:00:00+00:00,10,5,8,5
2026-07-17 00:00:00+00:00,20,7,11,9
2026-07-18 00:00:00+00:00,2,2,4,4
2026-07-19 00:00:00+00:00,7,2,2,2
2026-07-20 00:00:00+00:00,1,1,12,5
2026-07-21 00:00:00+00:00,9,4,6,6
2026-07-22 00:00:00+00:00,16,7,43,21
2026-07-23 00:00:00+00:00,15,6,9,8
2026-07-24 00:00:00+00:00,20,7,3,2
2026-07-25 00:00:00+00:00,4,4,2,2
2026-07-26 00:00:00+00:00,13,4,43,25
2026-07-27 00:00:00+00:00,2,2,26,16
